poiid,name,feature,sightlevel,distance,com_count,com_score,heat_score
76447,都江堰景区,0,5,5,5,4.7,8.9
87301,青城山,0,5,3,5,4.6,8.4
76342,成都大熊猫繁育研究基地,2,4,1,5,4.6,9.3
88023520,成都热雪奇迹（融创雪世界）,3,1,5,4,4.5,6.9
103300331,成都融创文旅城,4,1,5,2,4.6,6.9
18604577,都江堰中华大熊猫苑（原熊猫乐园）,2,1,3,4,4.6,6.9
87302,青城后山,30,1,3,4,4.5,6.7
76340,杜甫草堂,3,4,2,5,4.6,8.3
95050094,成都融创乐园	,6,1,5,4,4.5,6.6
82723,金沙遗址博物馆,7,4,2,5,4.7,7.8
88132,成都欢乐谷,4,4,2,4,4.6,7.7
82720,三星堆博物馆,7,4,2,4,4.7,8.2
76341,武侯祠,8,4,2,5,4.4,8.1
10559156,宽窄巷子,9,1,2,5,4.5,7.9
87961081,成都融创水世界,10,1,5,4,4.5,6.0
76383,西岭雪山,0,4,1,4,4.6,7.8
30752363,成都博物馆,7,1,2,4,4.8,7.7
10558940,锦里古街,13,1,2,5,4.4,7.7
87346,离堆公园,13,1,5,3,4.5,5.8
20911414,熊猫谷,2,1,4,2,4.3,5.7
27389076,卧龙中华大熊猫苑神树坪基地,2,1,2,4,4.4,6.4
89762,南桥,3,1,5,4,4.5,5.5
90182,街子古镇,13,4,3,3,4.4,5.7
10759067,都江堰青城道温泉,14,1,3,4,4.5,5.4
20906582,灌县古城,15,4,5,3,4.6,5.4
10556867,成都动物园,2,1,2,4,4.7,7.3
10543638,映秀地震遗址,3,1,3,0,0.0,5.5
99590,春熙路,3,1,1,4,4.6,7.4
10759015,蜀风雅韵川剧院,3,1,2,4,4.7,7.1
10532676,天府广场,18,1,2,4,4.6,7.2
33809807,盖碗儿·梨园茶馆（川剧变脸表演戏院）,19,1,2,4,4.8,7.2
13280701,国色天乡陆地乐园,4,1,2,4,4.5,6.0
13703467,都江堰鱼嘴分水堤,20,1,5,3,4.7,5.1
18450855,漫花庄园,3,1,2,4,4.4,6.9
87599,泰安古镇,15,1,3,3,3.9,5.0
87342,安澜索桥,3,1,5,3,4.6,5.0
13298234,茶溪谷,3,1,4,2,4.3,0.0
13754207,宝瓶口,20,1,5,3,4.6,0.0
58308797,都江堰·水街,9,1,5,1,4.8,0.0
71516582,成都city tour观光巴士,3,1,2,4,4.7,6.8
20361759,海滨城浩海立方海洋公园,21,1,2,4,4.5,6.4
51572851,蛟龙港·海滨城,3,1,2,2,4.6,6.4
10556872,虹口漂流,23,1,3,3,4.3,0.0
79228985,梵高星空美术馆（春熙路旗舰店）,24,1,1,4,4.9,6.8
76379,文殊院,8,1,2,4,4.5,6.6
13790277,文殊坊,9,1,2,3,4.4,6.6
10520941,元通古镇,15,4,3,3,4.5,5.3
87345,二王庙,8,1,5,3,4.4,0.0
13280702,国色天乡水上乐园,10,4,2,3,4.4,5.5
38537136,汶川大地震震中纪念馆,3,1,3,0,0.0,0.0
90391,四川博物院,25,1,2,4,4.5,6.4
82721,国色天乡童话世界,4,1,2,4,4.2,5.4
10543614,水磨古镇,3,1,3,0,0.0,0.0
22866059,九眼桥,9,1,1,3,4.5,6.7
80071841,鱼嘴滑翔伞俱乐部(都江堰店),3,1,4,2,5.0,0.0
13250623,天府熊猫塔,3,1,1,4,4.5,6.6
10533203,丹景山,20,4,3,3,4.1,0.0
90393,成都海昌极地海洋公园,21,4,1,5,4.6,7.6
87597,天师洞,8,1,3,3,4.4,0.0
87598,上清宫,8,1,3,3,4.5,0.0
10548441,成都川菜博物馆,7,1,3,3,4.5,5.1
38948744,蜀乐池天然温泉,20,1,2,3,4.3,5.5
31065993,狐巴巴星球,3,1,3,4,4.7,0.0
10532409,人民公园,28,1,2,4,4.5,6.3
89964,毕棚沟,29,4,1,4,4.5,8.0
87606,虹口自然保护区,30,4,2,3,4.5,0.0
18137301,三潭雾泉,20,1,3,2,4.7,0.0
88924,四川建川博物馆聚落,7,4,2,4,4.7,6.2
90181,安仁古镇,13,5,2,4,4.4,6.1
18137299,龙隐峡栈道,20,1,3,2,4.6,0.0
10521046,老君阁,3,1,3,3,4.6,0.0
78535,青羊宫,8,1,2,4,4.4,6.0
15025725,成都环球中心,3,1,1,4,4.6,6.7
124349917,青城山索道,3,1,3,1,4.0,0.0
13706532,白鹿中法风情小镇,9,1,2,3,4.0,5.1
13753523,飞沙堰,20,1,5,2,4.7,0.0
82719,刘氏庄园博物馆,7,4,2,4,4.6,6.1
18569704,玉垒阁,18,1,5,2,4.5,0.0
95425,赵公山,0,1,3,2,4.3,0.0
10569799,环球中心海洋乐园,10,1,1,4,4.5,6.7
56383155,锦绣安仁奇境花园,3,1,2,4,4.7,6.1
10523086,四川省川剧院,31,1,1,3,4.5,6.1
10759012,《芙蓉国粹》变脸秀,19,1,1,4,4.7,6.1
133552676,篷客露营地（高原河谷店）,32,1,3,1,5.0,0.0
133527695,篷客露营地（赵公山无忧谷店）,32,1,3,1,5.0,0.0
13822298,四川科技馆,34,1,2,3,4.5,6.0
56819180,成都失恋博物馆（旗舰店）,34,1,2,3,4.6,6.0
13811470,光严禅院,8,1,3,2,4.4,0.0
49631348,都江堰·玫瑰花溪谷,6,1,3,2,3.5,0.0
20906616,又一村,3,1,3,2,4.5,0.0
87347,玉垒山公园,28,1,5,3,4.4,0.0
98624273,童话火车总动员,3,1,3,2,3.4,0.0
99621266,蓝色气流高空跳伞,35,1,2,1,5.0,0.0
10751059,汶川特别旅游区,20,5,3,2,4.5,0.0
20908799,翠映湖,20,1,3,2,4.3,0.0
23444928,天府花溪谷,37,4,2,4,4.1,0.0
56810109,玉林西路,9,1,1,2,4.8,5.9
18137313,清溪园,37,1,5,2,4.9,0.0
56216156,犀浦,9,1,2,2,4.4,0.0
22866125,宝山旅游景区,38,4,3,2,4.2,0.0
90498477,问花村,3,1,3,2,3.4,0.0
79443924,都江堰西街,8,1,5,1,4.4,0.0
20908803,都江堰水文化广场,18,1,5,2,4.6,0.0
13764770,伏龙观,8,1,5,2,4.6,0.0
25136275,岷江新濠温泉,14,1,5,3,4.7,0.0
10537760,浣花溪公园,28,1,2,3,4.7,5.5
98148,中国泰迪熊博物馆,7,1,2,4,4.3,0.0
76381,大慈寺,8,1,1,4,4.5,5.8
79444220,侏罗纪世界电影特展,3,1,1,3,4.2,5.8
52080275,莲花湖,20,1,3,2,4.7,0.0
10794844,太阳湾风景区,39,1,2,3,3.5,0.0
124349930,青城山skydive跳伞基地,35,1,3,1,5.0,0.0
87800,灵岩山,20,1,4,2,4.4,0.0
87387,四姑娘山,0,4,1,4,4.6,7.6
39843328,鱼凫湿地,20,1,3,2,4.8,0.0
61932921,七彩海巢欢乐世界,4,1,2,3,4.2,0.0
13181993,青城两河漂流,23,1,3,2,4.0,0.0
20911543,竹海洞天,39,1,4,1,4.5,0.0
35583924,心越温泉,14,1,3,2,4.1,0.0
76378,成都植物园,37,1,2,4,4.4,5.3
133892574,成都都江堰拾光山丘民宿,32,1,4,1,5.0,0.0
87596,建福宫,8,1,3,3,4.3,0.0
18700810,九龙沟漂流,23,1,3,3,4.3,0.0
23556599,奎星楼街,9,1,2,3,4.6,5.4
98282065,白云索道,3,1,3,1,4.0,0.0
30813371,宝山温泉,14,1,3,3,4.7,0.0
13759362,三道堰,15,4,3,3,4.3,0.0
33038952,神瀑沟风景区,30,1,2,3,3.8,0.0
13759552,松茂古道,8,1,5,2,4.6,0.0
13641026,普照寺,8,1,3,2,4.5,0.0
95915851,成都高空跳伞基地,35,1,2,1,5.0,0.0
56382167,音乐百花谷,3,1,1,3,4.2,5.4
96240403,大江户温泉馆,3,1,5,1,3.0,0.0
22610255,生命奥秘博物馆,25,1,2,3,4.5,5.4
24313473,都江堰博物馆,25,1,5,2,4.5,0.0
112647229,明城墙,8,1,5,1,5.0,0.0
24654020,漩口中学地震遗址,3,1,3,0,0.0,0.0
23124915,星期8小镇,3,1,2,3,4.3,0.0
69570771,安缇缦莲花湖旅游度假区,0,1,3,1,4.3,0.0
81487660,成都时空魔方（春熙路旗舰店）,34,1,1,2,4.5,5.4
124908114,仰天窝广场,18,1,5,1,4.0,0.0
28197872,青城山漂流,43,1,3,0,0.0,0.0
13822400,东郊记忆,3,4,1,3,4.5,5.5
101066,绵竹麓棠温泉,14,1,2,4,4.7,5.2
79656477,成都新光速卡丁车俱乐部（武侯店）,44,1,2,2,4.8,0.0
13706491,月城湖,20,1,3,2,4.3,0.0
13764580,秦堰楼,3,1,5,2,4.5,0.0
13764574,圆明宫,8,1,3,2,4.6,0.0
61939035,立巢航空博物馆,7,1,1,3,4.7,5.8
13471361,海豚湾水上乐园,10,1,3,2,4.4,0.0
31672241,桤木河湿地公园,28,1,2,2,3.9,0.0
18137296,五龙沟,20,1,3,2,4.6,0.0
18137314,卧铁,8,1,5,2,4.5,0.0
57153181,驼峰都江堰青城山直升机空中游览,35,1,5,1,4.8,0.0
133552682,篷客露营地（水磨拾云店）,32,1,3,1,5.0,0.0
91860335,标地越野沙滩车乐园（都江堰基地）,3,1,3,1,3.2,0.0
98277718,水利工程,3,1,5,1,5.0,0.0
13415904,成都国际非物质文化遗产博览园,3,4,2,3,4.2,0.0
28197432,三星堆考古遗址公园,13,1,2,2,4.5,5.2
24652046,彭州白鹿上书院,3,1,2,2,4.7,0.0
76445,望江楼公园,3,1,1,4,4.5,5.5
24849932,兰桂坊成都,9,1,1,3,4.6,5.3
10532681,灵岩寺,8,1,4,2,4.1,0.0
76452,望丛祠,8,4,3,3,4.3,0.0
13789663,怀远古镇,15,1,3,2,4.3,0.0
28352048,万达城开心动物城,3,1,5,2,4.4,0.0
58279778,西岭雪山滑雪场,3,1,1,2,3.6,5.2
24652844,蜀道园,28,1,2,2,3.6,0.0
24654490,张松银杏,3,1,5,2,4.7,0.0
13703455,都江堰城隍庙,8,1,5,2,4.6,0.0
31772344,水果侠主题乐园,4,1,5,3,4.5,0.0
10520922,四川大学,3,1,1,3,4.6,5.4
101666,卧龙大熊猫自然保护区,20,1,2,2,4.4,0.0
49936711,联华梨园社·春熙剧场川剧变脸秀,3,1,1,3,4.9,5.2
10520940,凤栖山,20,1,3,2,4.5,0.0
10558963,花水湾温泉度假区,14,4,1,3,4.6,5.5
44978672,彭州· 湔江河谷旅游小火车,3,1,3,3,4.2,0.0
57153337,黄龙溪欢乐田园,3,1,1,4,4.9,7.1
